term,canonical_name,geo_type,map_level,country,admin1_name,latitude,longitude,source
Mazar-e Sharif,Mazar-i-Sharif,place,point,Afghanistan,Balkh,36.699994,67.100028,natural_earth_populated_places
Mazar-i-Sharif,Mazar-i-Sharif,place,point,Afghanistan,Balkh,36.699994,67.100028,natural_earth_populated_places
Herat,Herat,place,point,Afghanistan,Hirat,34.330009,62.169993,natural_earth_populated_places
Kabul,Kabul,place,point,Afghanistan,Kabul,34.518636,69.181314,natural_earth_populated_places
Kandahar,Kandahar,place,point,Afghanistan,Kandahar,31.61002,65.694946,natural_earth_populated_places
Mariehamn,Mariehamn,place,point,Aland,Finström,60.096996,19.949005,natural_earth_populated_places
Tirana,Tirana,place,point,Albania,Durrës,41.327541,19.818883,natural_earth_populated_places
Algiers,Algiers,place,point,Algeria,Alger,36.765011,3.048607,natural_earth_populated_places
Annaba,Annaba,place,point,Algeria,Annaba,36.920006,7.759981,natural_earth_populated_places
Constantine,Constantine,place,point,Algeria,Constantine,36.359989,6.599948,natural_earth_populated_places
Ghardaia,Ghardaia,place,point,Algeria,Ghardaaa,32.489992,3.669998,natural_earth_populated_places
Oran,Oran,place,point,Algeria,Oran,35.711948,-0.621919,natural_earth_populated_places
Tamanrasset,Tamanrasset,place,point,Algeria,Tamanghasset,22.785003,5.522805,natural_earth_populated_places
Pago Pago,Pago Pago,place,point,American Samoa,,-14.276611,-170.706645,natural_earth_populated_places
Andorra,Andorra,place,point,Andorra,,42.500001,1.516486,natural_earth_populated_places
Benguela,Benguela,place,point,Angola,Benguela,-12.578265,13.407233,natural_earth_populated_places
Menongue,Menongue,place,point,Angola,Cuando Cubango,-14.666613,17.699994,natural_earth_populated_places
Huambo,Huambo,place,point,Angola,Huambo,-12.74804,15.758064,natural_earth_populated_places
Lubango,Lubango,place,point,Angola,Huíla,-14.910009,13.490019,natural_earth_populated_places
Luanda,Luanda,place,point,Angola,Luanda,-8.83634,13.232481,natural_earth_populated_places
Malanje,Malanje,place,point,Angola,Malanje,-9.54,16.340026,natural_earth_populated_places
Moçâmedes,Moçâmedes,place,point,Angola,Namibe,-15.190043,12.160022,natural_earth_populated_places
Namibe,Moçâmedes,place,point,Angola,Namibe,-15.190043,12.160022,natural_earth_populated_places
Aboa Station,Aboa Station,place,point,Antarctica,,-75.049594,-13.416711,natural_earth_populated_places
AmundseniScott South Pole Station,Amundsen–Scott South Pole Station,place,point,Antarctica,,-90.0,176.994452,natural_earth_populated_places
